ID,ER_METHOD,Value,Measure
130,REAPPRAISE,0.661112564,CS
130,REAPPRAISE,-0.099299609,LL
131,UNINSTRUCTED,0.076578681,GSR
131,UNINSTRUCTED,0.232753663,CS
131,UNINSTRUCTED,0.066148038,LL
131,SUPPRESS,0.006382586,GSR
131,SUPPRESS,-0.011649269,CS
131,SUPPRESS,0.030219777,LL
131,REAPPRAISE,0.094831626,GSR
131,REAPPRAISE,-0.321555708,CS
131,REAPPRAISE,0.045570631,LL
132,UNINSTRUCTED,0.274858096,GSR
132,UNINSTRUCTED,0.034007385,CS
132,UNINSTRUCTED,0.136540416,LL
132,SUPPRESS,-0.049818882,GSR
132,SUPPRESS,0.061212366,CS
132,SUPPRESS,0.074204921,LL
132,REAPPRAISE,-0.011065162,GSR
132,REAPPRAISE,-0.227009997,CS
132,REAPPRAISE,-0.086010918,LL
134,UNINSTRUCTED,-0.088837183,GSR
134,UNINSTRUCTED,0.009819092,CS
134,UNINSTRUCTED,-0.160279415,LL
134,SUPPRESS,0.004254598,GSR
134,SUPPRESS,0.111536137,CS
134,SUPPRESS,-0.119850494,LL
134,REAPPRAISE,-0.004528537,GSR
134,REAPPRAISE,0.66709416,CS
134,REAPPRAISE,0.019125795,LL
135,UNINSTRUCTED,-0.373225983,GSR
135,UNINSTRUCTED,0.79725667,CS
135,UNINSTRUCTED,0.038052956,LL
135,SUPPRESS,0.038333137,GSR
135,SUPPRESS,0.031951555,CS
135,SUPPRESS,0.126067016,LL
135,REAPPRAISE,0.244729989,GSR
135,REAPPRAISE,0.584733425,CS
135,REAPPRAISE,-0.329944241,LL
136,UNINSTRUCTED,-0.021602322,GSR
136,UNINSTRUCTED,0.116997758,CS
136,UNINSTRUCTED,0.271313128,LL
136,SUPPRESS,-0.137287797,GSR
136,SUPPRESS,0.070919378,CS
136,SUPPRESS,0.170193082,LL
136,REAPPRAISE,0.228141156,GSR
136,REAPPRAISE,0.112144934,CS
136,REAPPRAISE,0.413858703,LL
137,UNINSTRUCTED,0.077380792,GSR
137,UNINSTRUCTED,-0.08910812,CS
137,UNINSTRUCTED,-0.219906443,LL
137,SUPPRESS,0.08409618,GSR
137,SUPPRESS,-0.189554167,CS
137,SUPPRESS,0.166009098,LL
137,REAPPRAISE,0.070887766,GSR
137,REAPPRAISE,-0.06962355,CS
137,REAPPRAISE,0.176952999,LL
138,UNINSTRUCTED,-0.005237644,GSR
138,UNINSTRUCTED,0.993937017,CS
138,UNINSTRUCTED,0.335853521,LL
138,SUPPRESS,-0.017987075,GSR
138,SUPPRESS,-0.097269833,CS
138,SUPPRESS,-0.388387577,LL
138,REAPPRAISE,0.103690484,GSR
138,REAPPRAISE,-0.06057677,CS
138,REAPPRAISE,0.090375638,LL
140,UNINSTRUCTED,0.141752234,GSR
140,UNINSTRUCTED,0.932876534,CS
140,UNINSTRUCTED,0.272334764,LL
140,SUPPRESS,0.337083253,GSR
140,SUPPRESS,0.025951444,CS
140,SUPPRESS,-0.058980529,LL
140,REAPPRAISE,-0.076549793,GSR
140,REAPPRAISE,0.034491881,CS
140,REAPPRAISE,-0.043819999,LL
141,UNINSTRUCTED,-0.151164457,GSR
141,UNINSTRUCTED,1.137065406,CS
141,UNINSTRUCTED,1.304313669,LL
141,SUPPRESS,-0.189601393,GSR
141,SUPPRESS,-0.013031336,CS
141,SUPPRESS,0.063966465,LL
141,REAPPRAISE,0.105057656,GSR
141,REAPPRAISE,0.109035353,CS
141,REAPPRAISE,-0.054903731,LL
143,UNINSTRUCTED,0.023438413,GSR
143,UNINSTRUCTED,-0.282542745,CS
143,UNINSTRUCTED,0.148768346,LL
143,SUPPRESS,-0.025368669,GSR
143,SUPPRESS,0.125937019,CS
143,SUPPRESS,0.092702984,LL
143,REAPPRAISE,-0.105695386,GSR
143,REAPPRAISE,-0.452801267,CS
143,REAPPRAISE,0.108308429,LL
144,UNINSTRUCTED,0.016194835,GSR
144,UNINSTRUCTED,0.796071551,CS
144,UNINSTRUCTED,-0.018718559,LL
144,SUPPRESS,-0.141524728,GSR
144,SUPPRESS,0.228814756,CS
144,SUPPRESS,0.178251853,LL
144,REAPPRAISE,0.362025616,GSR
144,REAPPRAISE,-0.318224051,CS
144,REAPPRAISE,-0.212116418,LL
145,UNINSTRUCTED,0.211401639,GSR
145,UNINSTRUCTED,1.05457246,CS
145,UNINSTRUCTED,0.017866409,LL
145,SUPPRESS,0.21517368,GSR
145,SUPPRESS,-0.140367611,CS
